API Name,Description,Method,Endpoint,Request Body / Params,Response Type,Screen(s) Used,Module / DataSource,Auth Required,Comment
"Get Customer Financial Report","Comprehensive P&L per customer",GET,/customers/{id}/financial-report,"period, start_date?, end_date?",CustomerFinancialReportResponse,CustomerDetail Screen (Financials tab),screen-customer / CustomerRemoteDataSource,Yes,"Owner/GM only"
"Create Trip Payment","Record a new payment",POST,/trip-payments,"CreateTripPaymentRequest (tripId, amount, paymentMode, paymentDate, referenceNumber, notes, etc.)",TripPaymentResponse,AddPayment Screen,screen-payment / TripPaymentRemoteDataSource,Yes,""
"Add Payment To Trip","Add payment linked to specific trip",POST,/trip-payments,"AddPaymentToTripRequest (tripId, amount, mode, etc.)",TripPaymentResponse,TripDetail Screen (Add Payment),screen-payment / TripPaymentRemoteDataSource,Yes,"Same endpoint as Create; different request shape"
"List Trip Payments","List all payments with filters",GET,/trip-payments,"page, per_page, trip_id?, customer_id?, payment_type?, payment_mode?, payment_status?, start_date?, end_date?",TripPaymentListResponse,PaymentsList Screen,screen-payment / TripPaymentRemoteDataSource,Yes,"Rich filtering support"
"Get Trip's Payments","List payments for a specific trip",GET,/trips/{tripId}/payments,"page, per_page",TripPaymentsHistoryResponse,TripDetail Screen (Payments tab),screen-payment / TripPaymentRemoteDataSource,Yes,""
"Get Payment By ID","Fetch single payment details",GET,/trip-payments/{id},"paymentId (path)",TripPaymentResponse,PaymentDetail Screen,screen-payment / TripPaymentRemoteDataSource,Yes,""
"Update Payment","Update existing payment",PUT,/trip-payments/{id},"UpdateTripPaymentRequest",TripPaymentResponse,EditPayment Screen,screen-payment / TripPaymentRemoteDataSource,Yes,""
"Delete Payment","Delete a payment record",DELETE,/trip-payments/{id},"paymentId (path)",TripPaymentResponse,PaymentDetail Screen,screen-payment / TripPaymentRemoteDataSource,Yes,""
"Get Payment Summary","Payment summary report",GET,/trip-payments/summary,"start_date?, end_date?",PaymentSummaryReportResponse,PaymentsList Screen,screen-payment / TripPaymentRemoteDataSource,Yes,""
"Get TDS Report","Tax Deducted at Source report",GET,/trip-payments/tds-report,"financial_year",TdsReportResponse,PaymentsList Screen,screen-payment / TripPaymentRemoteDataSource,Yes,"Financial year format"
"Create Team Member","Add GM/Manager/Supervisor",POST,/team/members,"CreateTeamMemberRequest (email, password, firstName, lastName, mobile, role)",TeamMemberApiResponse,CreateTeamMember Screen,screen-team / TeamRemoteDataSource,Yes,""
"Get Team Members","List all team members",GET,/team/members,"role? (query filter)",TeamMemberListApiResponse,TeamList Screen,screen-team / TeamRemoteDataSource,Yes,""
"Get Team Member","Fetch single member details",GET,/team/members/{id},"memberId (path)",TeamMemberApiResponse,TeamMemberDetail Screen,screen-team / TeamRemoteDataSource,Yes,""
"Update Team Member","Update member details/role",PUT,/team/members/{id},"UpdateTeamMemberRequest (firstName, lastName, email, role, isActive)",TeamMemberApiResponse,TeamMemberDetail Screen (edit),screen-team / TeamRemoteDataSource,Yes,""
"Toggle Team Member Active","Activate/deactivate member",PATCH,/team/members/{id}/toggle-active,"Bearer token only",TeamMemberApiResponse,TeamMemberDetail Screen,screen-team / TeamRemoteDataSource,Yes,""
"Reset Team Member Password","Reset member's password",POST,/team/members/{id}/reset-password,"ResetPasswordRequest (newPassword)",TeamSimpleApiResponse,TeamMemberDetail Screen,screen-team / TeamRemoteDataSource,Yes,""
"Delete Team Member","Remove team member",DELETE,/team/members/{id},"memberId (path)",TeamSimpleApiResponse,TeamMemberDetail Screen,screen-team / TeamRemoteDataSource,Yes,""
"Get Trip P&L","Profit/Loss for single trip",GET,/trips/{tripId}/profit-loss,"tripId (path)",ProfitLossResponse<TripProfitLossDto>,TripProfitLoss Screen,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only"
"Get Vehicle P&L","Profit/Loss for single vehicle",GET,/vehicles/{vehicleId}/profit-loss?period={period},"vehicleId, period (monthly/quarterly/yearly/custom)",ProfitLossResponse<VehicleProfitLossDto>,VehicleProfitLoss Screen,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only"
"Get Fleet P&L","Fleet-wide Profit/Loss report",GET,/reports/profit-loss,"period?, start_date?, end_date?",ProfitLossResponse<FleetProfitLossDto>,Reports Hub,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only"
"Get Multi-Vehicle P&L","P&L for multiple vehicles",POST,/reports/profit-loss/vehicles,"MultiVehiclePLRequest (vehicleIds, period, startDate?, endDate?)",ProfitLossResponse<MultiVehiclePLResponseDto>,VehicleProfitLoss Screen,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only"
"Get Multi-Trip P&L","P&L for multiple trips",POST,/reports/profit-loss/trips,"MultiTripPLRequest (tripIds?, vehicleId?, period, startDate?, endDate?)",ProfitLossResponse<List<TripProfitLossDto>>,TripProfitLoss Screen,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only"
"Get Cost Type Analysis","Analysis for single cost type",GET,/reports/profit-loss/cost-type/{type},"costType (path), start_date?, end_date?",ProfitLossResponse<CostTypeAnalysisDto>,CostAnalysis Screen,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only"
"Get Multi Cost Type Analysis","Analysis for multiple cost types",POST,/reports/profit-loss/cost-types,"MultiCostTypePLRequest (costTypes, period, startDate?, endDate?)",ProfitLossResponse<List<CostTypeAnalysisDto>>,CostAnalysis Screen,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only"
"Get Consolidated P&L","Overall consolidated P&L statement",POST,/reports/profit-loss/consolidated,"ConsolidatedPLRequest (period, startDate?, endDate?, includeVehicles?, includeTrips?)",ProfitLossResponse<ConsolidatedPLDto>,ConsolidatedPL Screen,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only"
"Get P&L Summary","Summary with overview + alerts",GET,/reports/profit-loss/summary,"start_date?, end_date?",ProfitLossResponse<PLSummaryDto>,Reports Hub Screen,screen-report / ReportsRemoteDataSource,Yes,"Owner/GM only; overview + alerts + top vehicles"
"Get Vehicle Purchase","Fetch purchase info for vehicle",GET,/vehicles/{vehicleId}/purchase,"vehicleId (path)",VehiclePurchaseResponse,VehicleFinanceDetail Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,"Returns 404 if no purchase record"
"Create Vehicle Purchase","Record vehicle purchase details",POST,/vehicles/{vehicleId}/purchase,"CreatePurchaseRequest (purchaseDate, purchasePrice, purchaseType, downPayment, loanAmount, interestRate, tenure, emiAmount, etc.)",VehiclePurchaseResponse,AddPurchaseInfo Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,"purchaseType: cash or loan"
"Update Vehicle Purchase","Update purchase details",PUT,/vehicles/{vehicleId}/purchase,"UpdatePurchaseRequest",VehiclePurchaseResponse,EditPurchaseInfo Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Get Loan Summary","Fetch loan summary for vehicle",GET,/vehicles/{vehicleId}/loan-summary,"vehicleId (path)",LoanSummaryResponse,VehicleFinanceDetail Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,"Total loan, paid, remaining, next EMI date"
"Get Vehicle Loan Payments","List EMI payments for vehicle",GET,/vehicles/{vehicleId}/loan-payments,"page, per_page, status?",LoanPaymentsListResponse,EmiPaymentHistory Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Get All Loan Payments","List all loan payments across vehicles",GET,/vehicle-loan-payments,"page, per_page, vehicle_id?, status?",LoanPaymentsListResponse,VehicleFinance List Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Get Loan Payment By ID","Fetch single loan payment",GET,/vehicle-loan-payments/{id},"paymentId (path)",LoanPaymentResponse,EmiPaymentHistory Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Record Loan Payment","Record new EMI/loan payment",POST,/vehicle-loan-payments,"RecordPaymentRequest (vehiclePurchaseId, amount, paymentDate, paymentMode, referenceNumber?, notes?)",LoanPaymentResponse,EmiPaymentHistory Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Update Loan Payment","Update existing loan payment",PUT,/vehicle-loan-payments/{id},"UpdatePaymentRequest",LoanPaymentResponse,EmiPaymentHistory Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Mark EMI Paid","Mark scheduled EMI as paid",POST,/vehicle-loan-payments/{id}/pay,"MarkEmiPaidRequest (paymentDate, paymentMode, referenceNumber?, notes?)",LoanPaymentResponse,EmiPaymentHistory Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Delete Loan Payment","Delete a loan payment",DELETE,/vehicle-loan-payments/{id},"paymentId (path)",DeleteResponse,EmiPaymentHistory Screen,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Get Upcoming EMIs","Fetch EMIs due in next N days",GET,/vehicle-loan-payments/upcoming,"days (query)",EmiAlertsResponse,VehicleFinance List / Dashboard,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
"Get Overdue EMIs","Fetch past-due EMI payments",GET,/vehicle-loan-payments/overdue,"Bearer token only",EmiAlertsResponse,VehicleFinance List / Dashboard,screen-finance / VehicleFinanceRemoteDataSource,Yes,""
